shipment_id,origin_country,origin_port,destination_country,destination_port,carrier,transport_mode,product_category,quantity,unit_value,total_value,weight_kg,volume_m3,departure_date,expected_arrival_date,actual_arrival_date,status,delay_days,delay_reason,weather_risk_score,geopolitical_risk_score,route_complexity_score,customs_clearance_time_hours,temperature_sensitive,hazmat,priority_level,supplier_id,customer_id,incoterm,insurance_value,transit_days_planned,transit_days_actual
SHP-2024-001,China,Shanghai,United States,Los Angeles,Maersk,Sea,Electronics,5000,45.50,227500,12500,85.4,2024-01-05,2024-01-20,2024-01-21,Delivered,1,Port Congestion,0.15,0.05,0.45,18,TRUE,FALSE,High,SUP-CH-001,CUST-US-045,FOB,250000,15,16
SHP-2024-002,Germany,Hamburg,United Kingdom,Felixstowe,DHL,Sea,Automotive Parts,2000,125.00,250000,8000,45.2,2024-01-08,2024-01-12,2024-01-12,Delivered,0,,0.05,0.02,0.25,12,FALSE,FALSE,Medium,SUP-DE-012,CUST-UK-023,CIF,275000,4,4
SHP-2024-003,Vietnam,Ho Chi Minh,United States,Long Beach,COSCO,Sea,Textiles,15000,12.75,191250,18000,125.8,2024-01-10,2024-01-28,2024-02-03,Delivered,6,Weather Delay,0.65,0.10,0.50,24,FALSE,FALSE,Low,SUP-VN-007,CUST-US-089,EXW,210000,18,24
SHP-2024-004,Japan,Tokyo,Australia,Sydney,Nippon Yusen,Sea,Machinery,500,850.00,425000,45000,180.5,2024-01-12,2024-01-24,2024-01-26,Delivered,2,Customs Delay,0.25,0.03,0.35,36,FALSE,FALSE,High,SUP-JP-003,CUST-AU-012,DDP,468000,12,14
SHP-2024-005,United States,Chicago,Mexico,Mexico City,FedEx,Air,Pharmaceuticals,800,215.00,172000,1200,8.5,2024-01-15,2024-01-16,2024-01-16,Delivered,0,,0.02,0.08,0.15,6,TRUE,FALSE,Critical,SUP-US-034,CUST-MX-056,DAP,189000,1,1
SHP-2024-006,India,Mumbai,Germany,Hamburg,MSC,Sea,Chemicals,3000,68.50,205500,22000,95.3,2024-01-18,2024-02-08,2024-02-15,Delivered,7,Suez Canal Congestion,0.20,0.45,0.70,30,FALSE,TRUE,Medium,SUP-IN-019,CUST-DE-078,CFR,226000,21,28
SHP-2024-007,South Korea,Busan,United States,Seattle,Evergreen,Sea,Electronics,8000,92.25,738000,16000,110.2,2024-01-20,2024-02-05,2024-02-05,Delivered,0,,0.10,0.05,0.40,16,TRUE,FALSE,High,SUP-KR-008,CUST-US-034,FOB,812000,16,16
SHP-2024-008,Brazil,Santos,Netherlands,Rotterdam,Hapag-Lloyd,Sea,Food Products,12000,8.90,106800,28000,165.7,2024-01-22,2024-02-18,2024-02-22,Delivered,4,Equipment Malfunction,0.35,0.12,0.55,20,TRUE,FALSE,Medium,SUP-BR-005,CUST-NL-041,CIF,117000,27,31
SHP-2024-009,Thailand,Bangkok,United Kingdom,Southampton,ONE,Sea,Furniture,4500,34.00,153000,32000,240.5,2024-01-25,2024-02-22,2024-02-22,Delivered,0,,0.15,0.08,0.50,22,FALSE,FALSE,Low,SUP-TH-014,CUST-UK-067,FOB,168000,28,28
SHP-2024-010,Canada,Vancouver,Japan,Yokohama,K Line,Sea,Wood Products,6000,28.50,171000,85000,420.8,2024-01-28,2024-02-15,2024-02-18,Delivered,3,Port Strike,0.30,0.15,0.45,28,FALSE,FALSE,Medium,SUP-CA-002,CUST-JP-029,FAS,188000,18,21
SHP-2024-011,China,Shenzhen,Netherlands,Rotterdam,OOCL,Sea,Electronics,10000,67.80,678000,14000,98.6,2024-02-01,2024-02-28,2024-03-08,Delivered,8,Suez Canal Reroute,0.25,0.55,0.80,32,TRUE,FALSE,High,SUP-CH-001,CUST-NL-015,CIF,746000,27,35
SHP-2024-012,Mexico,Veracruz,Spain,Barcelona,ZIM,Sea,Automotive Parts,3500,156.00,546000,18000,88.4,2024-02-03,2024-02-20,2024-02-21,Delivered,1,Weather Delay,0.40,0.10,0.40,18,FALSE,FALSE,Medium,SUP-MX-021,CUST-ES-053,FOB,601000,17,18
SHP-2024-013,Singapore,Singapore,United States,New York,Yang Ming,Sea,Pharmaceuticals,2500,340.00,850000,3000,22.5,2024-02-05,2024-03-10,2024-03-10,Delivered,0,,0.15,0.12,0.65,14,TRUE,FALSE,Critical,SUP-SG-009,CUST-US-012,DDP,935000,33,33
SHP-2024-014,Poland,Gdansk,Sweden,Gothenburg,DFDS,Sea,Industrial Equipment,1200,425.00,510000,28000,125.3,2024-02-08,2024-02-12,2024-02-14,Delivered,2,Ice Navigation,0.70,0.25,0.30,16,FALSE,FALSE,Medium,SUP-PL-006,CUST-SE-038,CFR,561000,4,6
SHP-2024-015,Turkey,Mersin,United Arab Emirates,Dubai,Arkas,Sea,Textiles,8000,18.50,148000,12000,89.2,2024-02-10,2024-02-18,2024-02-18,Delivered,0,,0.10,0.35,0.35,10,FALSE,FALSE,Low,SUP-TR-013,CUST-AE-024,CIF,163000,8,8
SHP-2024-016,Australia,Melbourne,China,Guangzhou,COSCO,Sea,Raw Materials,25000,6.20,155000,120000,580.4,2024-02-12,2024-03-05,2024-03-05,Delivered,0,,0.20,0.08,0.45,20,FALSE,FALSE,Low,SUP-AU-004,CUST-CH-091,FAS,171000,21,21
SHP-2024-017,United States,Houston,Brazil,Rio de Janeiro,CMA CGM,Sea,Machinery,1800,780.00,1404000,42000,195.8,2024-02-15,2024-03-12,2024-03-16,Delivered,4,Customs Inspection,0.25,0.20,0.50,48,FALSE,FALSE,High,SUP-US-067,CUST-BR-019,EXW,1544000,25,29
SHP-2024-018,Italy,Genoa,United States,Savannah,Evergreen,Sea,Food Products,5500,22.00,121000,18000,105.6,2024-02-18,2024-03-08,2024-03-10,Delivered,2,Port Congestion,0.30,0.08,0.45,22,TRUE,FALSE,Medium,SUP-IT-011,CUST-US-073,DAP,133000,18,20
SHP-2024-019,Malaysia,Port Klang,Germany,Bremerhaven,Hapag-Lloyd,Sea,Electronics,6500,78.50,510250,11000,76.8,2024-02-20,2024-03-18,2024-03-18,Delivered,0,,0.12,0.10,0.55,18,TRUE,FALSE,High,SUP-MY-008,CUST-DE-045,FOB,561000,26,26
SHP-2024-020,Chile,Valparaiso,South Korea,Busan,HMM,Sea,Minerals,30000,12.40,372000,180000,850.2,2024-02-22,2024-03-28,2024-04-02,Delivered,5,Equipment Shortage,0.40,0.08,0.60,24,FALSE,FALSE,Low,SUP-CL-001,CUST-KR-062,CFR,409000,34,39
SHP-2024-021,France,Le Havre,Canada,Montreal,Zim,Sea,Automotive Parts,2800,198.00,554400,16000,82.5,2024-02-25,2024-03-12,2024-03-12,Delivered,0,,0.15,0.05,0.35,14,FALSE,FALSE,Medium,SUP-FR-009,CUST-CA-028,CIF,610000,15,15
SHP-2024-022,Indonesia,Jakarta,India,Chennai,PIL,Sea,Textiles,11000,14.25,156750,16000,118.4,2024-02-28,2024-03-15,2024-03-18,Delivered,3,Monsoon Weather,0.60,0.15,0.40,28,FALSE,FALSE,Low,SUP-ID-007,CUST-IN-056,FOB,172000,15,18
SHP-2024-023,United Kingdom,Southampton,United States,Baltimore,Maersk,Sea,Pharmaceuticals,1500,445.00,667500,2200,16.8,2024-03-01,2024-03-15,2024-03-15,Delivered,0,,0.20,0.05,0.40,12,TRUE,FALSE,Critical,SUP-UK-015,CUST-US-087,DDP,734000,14,14
SHP-2024-024,China,Ningbo,Mexico,Manzanillo,COSCO,Sea,Electronics,9500,54.00,513000,13500,94.2,2024-03-05,2024-03-28,2024-04-05,Delivered,8,Panama Canal Delay,0.15,0.18,0.75,26,TRUE,FALSE,High,SUP-CH